x	y	group	clickSelects
-88.1266403198242	30.3896808624268	0	AL
-88.1323699951172	30.3610343933106	0	AL
-88.1438293457031	30.3438453674316	0	AL
-88.161018371582	30.3381156921387	0	AL
-88.172477722168	30.3381156921387	0	AL
-88.1896591186523	30.3553047180176	0	AL
-88.2240447998047	30.3782234191895	0	AL
-88.2354965209961	30.3954105377197	0	AL
-88.2870635986328	30.4011421203613	0	AL
-88.3157119750977	30.4011421203613	0	AL
-88.3329010009766	30.4011421203613	0	AL
-88.35009765625	30.4240608215332	0	AL
-88.3902053833008	30.4125995635986	0	AL
-88.4073867797852	30.7334575653076	0	AL
-88.4188461303711	30.9970169067383	0	AL
-88.430305480957	31.123067855835	0	AL
-88.4532241821289	31.432466506958	0	AL
-88.4646835327149	31.6960258483887	0	AL
-88.4761428833008	31.8908290863037	0	AL
-88.430305480957	32.22314453125	0	AL
-88.430305480957	32.3090896606445	0	AL
-88.3902053833008	32.5783805847168	0	AL
-88.35009765625	32.9221534729004	0	AL
-88.3386306762695	32.9851799011231	0	AL
-88.2985305786133	33.2831192016602	0	AL
-88.2756042480469	33.5294914245605	0	AL
-88.2526931762695	33.7357559204102	0	AL
-88.2068557739258	34.0623397827148	0	AL
-88.2068557739258	34.0795288085938	0	AL
-88.1839370727539	34.3144416809082	0	AL
-88.166748046875	34.4634094238281	0	AL
-88.1495513916016	34.5837326049805	0	AL
-88.1094436645508	34.8988571166992	0	AL
-88.1323699951172	34.9045906066895	0	AL
-88.166748046875	34.9504280090332	0	AL
-88.1896591186523	34.996265411377	0	AL
-88.1839370727539	35.0134506225586	0	AL
-87.989128112793	35.0134506225586	0	AL
-87.6052474975586	35.0077209472656	0	AL
-87.2270965576172	35.0019912719727	0	AL
-87.2041702270508	35.0019912719727	0	AL
-86.8260269165039	34.996265411377	0	AL
-86.7801895141602	34.9905319213867	0	AL
-86.3103637695313	34.9905319213867	0	AL
-85.8519973754883	34.9848022460938	0	AL
-85.6113510131836	34.9790725708008	0	AL
-85.5884399414063	34.8415641784668	0	AL
-85.5426025390625	34.6181106567383	0	AL
-85.5254058837891	34.5837326049805	0	AL
-85.4681167602539	34.2628746032715	0	AL
-85.4280090332031	34.0795288085938	0	AL
-85.4050903320313	33.9592094421387	0	AL
-85.3936309814453	33.907642364502	0	AL
-85.3477935791016	33.6612701416016	0	AL
-85.3134155273438	33.4951095581055	0	AL
-85.2962265014648	33.4320907592773	0	AL
-85.2446594238281	33.1169624328613	0	AL
-85.2389297485352	33.1054992675781	0	AL
-85.1930923461914	32.8705902099609	0	AL
-85.1930923461914	32.8591270446777	0	AL
-85.1701812744141	32.8419418334961	0	AL
-85.1472549438477	32.7903747558594	0	AL
-85.1300735473633	32.7674560546875	0	AL
-85.1300735473633	32.7502670288086	0	AL
-85.1243438720703	32.733081817627	0	AL
-85.1014175415039	32.67578125	0	AL
-85.1014175415039	32.6356735229492	0	AL
-85.0670394897461	32.6070289611816	0	AL
-85.0498580932617	32.5554618835449	0	AL
-85.0097503662109	32.5268173217773	0	AL
-84.9868316650391	32.4981651306152	0	AL
-84.992561340332	32.4695167541504	0	AL
-84.9753723144531	32.4236831665039	0	AL
-84.9810943603516	32.3778457641602	0	AL
-85.004020690918	32.3377380371094	0	AL
-84.9753723144531	32.3090896606445	0	AL
-84.9238052368164	32.2804412841797	0	AL
-84.9008865356445	32.2517929077148	0	AL
-84.9295349121094	32.2346076965332	0	AL
-84.9524536132813	32.228874206543	0	AL
-84.9696426391602	32.2002258300781	0	AL
-84.992561340332	32.1830368041992	0	AL
-85.0498580932617	32.1601181030273	0	AL
-85.0613098144531	32.1200141906738	0	AL
-85.0613098144531	32.1028251647949	0	AL
-85.0613098144531	32.085636138916	0	AL
-85.0613098144531	32.0627174377441	0	AL
-85.0613098144531	32.0283432006836	0	AL
-85.0613098144531	31.9939613342285	0	AL
-85.0785064697266	31.9595851898193	0	AL
-85.1071472167969	31.9366664886475	0	AL
-85.1415252685547	31.8679141998291	0	AL
-85.1358032226563	31.7876968383789	0	AL
-85.1358032226563	31.7762393951416	0	AL
